2024-05-30 17:08:18,761 - DEBUG - Tiles have different suits: east, stick, stick
2024-05-30 17:08:18,761 - DEBUG - Tiles have different suits: east, stick, stick
2024-05-30 17:08:18,761 - DEBUG - Tiles have different suits: east, stick, stick
2024-05-30 17:08:18,761 - DEBUG - Tiles have different suits: east, stick, stick
2024-05-30 17:08:18,761 - DEBUG - Tiles have different suits: east, stick, stick
2024-05-30 17:08:18,761 - DEBUG - Tiles have different suits: east, stick, stick
2024-05-30 17:08:18,761 - DEBUG - Tiles have different suits: east, stick, stick
2024-05-30 17:08:18,761 - DEBUG - Tiles have different suits: east, stick, stick
2024-05-30 17:08:18,761 - DEBUG - Tiles have different suits: east, stick, stick
2024-05-30 17:08:18,761 - DEBUG - Tiles have different suits: east, stick, stick
2024-05-30 17:08:18,761 - DEBUG - Tiles have different suits: east, stick, stick
2024-05-30 17:08:18,761 - DEBUG - Tiles have different suits: east, stick, stick
2024-05-30 17:08:18,761 - DEBUG - Tiles have different suits: east, stick, stick
2024-05-30 17:08:18,761 - DEBUG - Tiles have different suits: east, stick, stick
2024-05-30 17:08:18,761 - DEBUG - Tiles have different suits: east, stick, stick
2024-05-30 17:08:18,761 - DEBUG - Tiles have different suits: east, stick, stick
2024-05-30 17:08:18,761 - DEBUG - Tiles have different suits: east, stick, stick
2024-05-30 17:08:18,761 - DEBUG - Tiles have different suits: east, stick, stick
2024-05-30 17:08:18,761 - DEBUG - Tiles have different suits: east, stick, stick
2024-05-30 17:08:18,761 - DEBUG - Tiles have different suits: east, stick, stick
2024-05-30 17:08:18,761 - DEBUG - Tiles have different suits: east, stick, stick
2024-05-30 17:08:18,761 - DEBUG - Tiles have different suits: east, stick, stick
2024-05-30 17:08:18,761 - DEBUG - Tiles have different suits: east, stick, stick
2024-05-30 17:08:18,761 - DEBUG - Tiles have different suits: east, stick, stick
2024-05-30 17:08:18,761 - DEBUG - Tiles have different suits: east, stick, stick
2024-05-30 17:08:18,761 - DEBUG - Tiles have different suits: east, stick, stick
2024-05-30 17:08:18,761 - DEBUG - Tiles have different suits: east, stick, stick
2024-05-30 17:08:18,761 - DEBUG - Tiles have different suits: east, stick, stick
2024-05-30 17:08:18,761 - DEBUG - Tiles have different suits: east, stick, stick
2024-05-30 17:08:18,761 - DEBUG - Tiles have different suits: east, stick, stick
2024-05-30 17:08:18,761 - DEBUG - Tiles have different suits: east, stick, stick
2024-05-30 17:08:18,762 - DEBUG - Tiles have different suits: east, stick, stick
2024-05-30 17:08:18,762 - DEBUG - Tiles have different suits: east, stick, stick
2024-05-30 17:08:18,762 - DEBUG - Tiles have different suits: east, stick, stick
2024-05-30 17:08:18,762 - DEBUG - Tiles have different suits: east, stick, stick
2024-05-30 17:08:18,762 - DEBUG - Tiles have different suits: east, stick, stick
2024-05-30 17:08:18,762 - DEBUG - Tiles have different suits: east, stick, stick
2024-05-30 17:08:18,762 - DEBUG - Tiles have different suits: east, stick, stick
2024-05-30 17:08:18,762 - DEBUG - Tiles have different suits: east, stick, stick
2024-05-30 17:08:18,762 - DEBUG - Tiles have different suits: east, stick, stick
2024-05-30 17:08:18,762 - DEBUG - Tiles have different suits: east, stick, stick
2024-05-30 17:08:18,762 - DEBUG - Tiles have different suits: east, stick, stick
2024-05-30 17:08:18,762 - DEBUG - Tiles have different suits: east, stick, stick
2024-05-30 17:08:18,762 - DEBUG - Tiles have different suits: east, stick, stick
2024-05-30 17:08:18,762 - DEBUG - Tiles have different suits: east, stick, stick
2024-05-30 17:08:18,762 - DEBUG - Tiles have different suits: east, stick, stick
2024-05-30 17:08:18,762 - DEBUG - Tiles have different suits: east, stick, stick
2024-05-30 17:08:18,762 - DEBUG - Tiles have different suits: east, stick, stick
2024-05-30 17:08:18,762 - DEBUG - Tiles have different suits: east, stick, stick
2024-05-30 17:08:18,762 - DEBUG - Tiles have different suits: east, stick, stick
2024-05-30 17:08:18,762 - DEBUG - Tiles have different suits: east, stick, stick
2024-05-30 17:08:18,762 - DEBUG - Tiles have different suits: east, stick, stick
2024-05-30 17:08:18,762 - DEBUG - Tiles have different suits: east, stick, stick
2024-05-30 17:08:18,762 - DEBUG - Tiles have different suits: east, stick, stick
2024-05-30 17:08:18,762 - DEBUG - Tiles have different suits: east, stick, stick
2024-05-30 17:08:18,762 - DEBUG - Tiles have different suits: east, stick, stick
2024-05-30 17:08:18,762 - DEBUG - Tiles have different suits: east, stick, stick
2024-05-30 17:08:18,762 - DEBUG - Tiles have different suits: east, stick, stick
2024-05-30 17:08:18,762 - DEBUG - Tiles have different suits: east, stick, stick
2024-05-30 17:08:18,762 - DEBUG - Tiles have different suits: east, stick, stick
2024-05-30 17:08:18,762 - DEBUG - Tiles are not consecutive: 1, 2, 8
2024-05-30 17:08:18,762 - DEBUG - Tiles are not consecutive: 1, 2, 8
2024-05-30 17:08:18,762 - DEBUG - Tiles are not consecutive: 1, 2, 8
2024-05-30 17:08:18,762 - DEBUG - Tiles are not consecutive: 1, 2, 9
2024-05-30 17:08:18,762 - DEBUG - Tiles are not consecutive: 1, 2, 9
2024-05-30 17:08:18,762 - DEBUG - Tiles are not consecutive: 1, 2, 9
2024-05-30 17:08:18,762 - DEBUG - Tiles are not consecutive: 1, 3, 8
2024-05-30 17:08:18,762 - DEBUG - Tiles are not consecutive: 1, 3, 8
2024-05-30 17:08:18,762 - DEBUG - Tiles are not consecutive: 1, 3, 8
